EmployeeID,Age,Gender,Department,YearsOfExperience,EducationLevel,Salary,PerformanceRating,Skills,Certification
1,60,Female,Sales,13,1,130529,3,Java,Certified
2,50,Male,Finance,1,3,125129,5,C++,Not Certified
3,36,Male,Finance,2,4,143182,5,Data Analysis,Certified
4,29,Female,Operations,2,3,119443,2,Java,Not Certified
5,42,Male,Finance,13,3,39533,4,Python,Not Certified
6,60,Female,Marketing,11,1,138185,5,C++,Not Certified
7,40,Female,Finance,10,4,112283,2,Data Analysis,Certified
8,44,Male,IT,4,5,43366,3,Python,Not Certified
9,32,Female,Marketing,13,1,143819,3,Python,Certified
10,32,Male,Sales,4,1,106368,2,Python,Not Certified
11,45,Male,Sales,5,4,58325,5,Python,Not Certified
12,57,Male,Operations,4,2,64798,5,Java,Not Certified
13,61,Male,Operations,11,1,69453,4,Machine Learning,Certified
14,45,Male,IT,5,3,52849,4,Java,Certified
15,24,Male,Sales,7,3,85943,3,Java,Not Certified
16,43,Male,Sales,14,5,36157,4,Data Analysis,Certified
17,23,Male,Sales,1,1,141972,2,Data Analysis,Certified
18,45,Female,Sales,3,5,60178,3,Machine Learning,Not Certified
19,51,Female,Finance,12,1,112537,5,Data Analysis,Not Certified
20,59,Male,Marketing,5,4,59030,3,SQL,Certified
21,23,Female,Marketing,11,1,81134,1,Machine Learning,Not Certified
22,42,Female,IT,4,2,95729,3,Data Analysis,Not Certified
23,54,Female,Finance,0,3,38164,4,Machine Learning,Certified
24,33,Female,Sales,8,4,116378,2,Java,Certified
25,43,Female,Sales,2,3,31119,5,Java,Not Certified
26,46,Female,Operations,1,5,43351,5,Machine Learning,Certified
27,48,Male,Operations,8,4,86063,4,SQL,Certified
28,49,Female,IT,6,2,102076,4,SQL,Not Certified
29,37,Female,Sales,4,3,75162,4,Machine Learning,Not Certified
30,36,Female,IT,11,1,61760,1,Data Analysis,Not Certified
31,24,Female,Finance,5,1,79678,2,C++,Not Certified
32,58,Male,Marketing,11,1,122064,1,SQL,Certified
33,28,Male,Sales,10,4,119074,4,Python,Certified
34,42,Male,Finance,3,2,149567,2,Java,Not Certified
35,30,Male,Sales,0,2,127778,4,Machine Learning,Not Certified
36,60,Female,Operations,3,2,77628,2,Python,Not Certified
37,39,Male,IT,8,3,121894,5,Machine Learning,Not Certified
38,25,Male,Operations,0,4,134149,1,Java,Certified
39,46,Male,Marketing,9,1,70739,4,Java,Certified
40,35,Male,Operations,2,3,59738,4,SQL,Not Certified
41,30,Female,Sales,14,2,147361,3,SQL,Not Certified
42,47,Male,Operations,14,1,76921,5,Python,Certified
43,23,Female,Sales,4,4,91068,4,Machine Learning,Certified
44,41,Male,Marketing,6,5,53581,1,Java,Certified
45,49,Female,Operations,8,2,125672,5,Python,Certified
46,28,Female,IT,5,2,51485,4,C++,Not Certified
47,29,Male,IT,2,2,122701,1,Python,Certified
48,56,Male,IT,12,2,66294,3,Data Analysis,Certified
49,35,Male,Operations,6,1,83001,3,Python,Certified
50,38,Male,Operations,14,4,31634,1,Data Analysis,Not Certified
51,57,Female,Operations,13,3,73969,5,Data Analysis,Not Certified
52,61,Female,Sales,3,1,30093,1,Data Analysis,Certified
53,25,Male,Marketing,2,4,58370,1,C++,Certified
54,23,Male,IT,13,3,49750,3,Python,Not Certified
55,27,Female,Sales,6,2,136020,3,Python,Not Certified
56,25,Male,IT,10,4,142635,3,C++,Certified
57,50,Female,Sales,10,2,147634,4,Java,Not Certified
58,39,Male,Operations,6,4,46472,4,SQL,Certified
59,47,Female,IT,3,5,142545,2,Python,Not Certified
60,55,Female,Operations,11,2,48934,4,SQL,Certified
61,31,Female,IT,6,2,73774,5,Machine Learning,Certified
62,57,Female,Finance,10,2,118057,5,Machine Learning,Not Certified
63,35,Female,Sales,13,1,69125,3,C++,Certified
64,52,Male,Finance,1,3,96981,1,Machine Learning,Not Certified
65,36,Female,Sales,0,2,116541,3,Machine Learning,Not Certified
66,29,Male,Marketing,11,2,69103,1,Java,Not Certified
67,35,Female,IT,14,1,113750,3,Java,Certified
68,44,Female,Marketing,1,1,90085,3,Java,Certified
69,61,Male,Marketing,3,5,118705,5,Machine Learning,Certified
70,42,Male,Sales,7,4,86543,1,C++,Not Certified
71,37,Male,Finance,2,2,46938,2,Data Analysis,Certified
72,39,Male,Operations,14,4,107492,2,Data Analysis,Certified
73,45,Female,Sales,9,1,81586,3,SQL,Certified
74,47,Male,Operations,14,1,88024,3,Data Analysis,Certified
75,46,Female,Marketing,5,5,69687,5,Data Analysis,Not Certified
76,50,Male,Operations,5,3,101129,1,Java,Certified
77,36,Male,Finance,12,1,56207,3,Java,Not Certified
78,22,Female,Sales,8,2,79354,2,Machine Learning,Not Certified
79,46,Female,Finance,8,5,135457,1,SQL,Not Certified
80,28,Male,Finance,3,3,67310,3,Python,Not Certified
81,30,Female,Sales,8,5,78960,1,SQL,Certified
82,45,Female,Finance,14,1,91262,5,SQL,Certified
